ablation_protocol,ablation_seed,backbone_patch_lens,backbone_switches,best_epoch,best_stage,best_validation_mse,candidate,checkpoint,continuation_unfreeze_blocks,dataset,elapsed_seconds,horizon,inducing_points,inference_ms_batch,latent_dim,mae,model,mse,nll_weight,num_windows,parameters,patch_lens,primal_dual,representation_weight,rmse,seed,selected_hyperparameters,selection_protocol,source_model,training_ms_optimizer_step,variant
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.1457392369722899,,,,Electricity,79.2208882397972,96,,4.9376489298576995,,0.2623137245411674,LatentFlow,0.16768108904389456,,5167.0,,,False,,0.4094888143086384,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.4067421195494142,,,,Traffic,196.04970648100425,192,,6.080476949242386,,0.316337160118092,LatentFlow,0.47443509957931124,,3319.0,,,False,,0.6887924938465222,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.4102092305015772,,,,Traffic,204.65265845600516,336,,5.646675896261716,,0.31241921876481654,LatentFlow,0.47376098879506723,,3175.0,,,False,,0.6883029774707263,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.456351987244266,,,,Traffic,229.3320021010004,720,,5.330563741655828,,0.3320294128198037,LatentFlow,0.5101077942009377,,2791.0,,,False,,0.7142183099031679,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",10,backbone,0.40537116588406663,,,,Traffic,190.7436288036406,96,,5.711198136748248,,0.3068906660100982,LatentFlow,0.44719475784522317,,3415.0,,,False,,0.6687262203960774,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",8,backbone,0.4870260438275716,,,,Weather,43.40885702194646,192,,5.848115294911834,,0.26030513315595577,LatentFlow,0.2196984918181221,,10349.0,,,False,,0.4687200569829737,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",8,backbone,0.5615127440753167,,,,Weather,41.52240209467709,336,,5.332413517559568,,0.2994118183443351,LatentFlow,0.27447461232124093,,10205.0,,,False,,0.5239032470993484,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",8,backbone,0.6852358974476971,,,,Weather,42.08140484476462,720,,5.581701096007296,,0.3467648681950903,LatentFlow,0.34906734224623065,,9821.0,,,False,,0.5908192128276049,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,8-16-32,"{'use_adaptive_radius': True, 'use_component_gate': True, 'use_linear_field': False}",8,backbone,0.441386290012844,,,,Weather,40.31324029399548,96,,5.397091073358858,,0.2173439490980552,LatentFlow,0.17167284356956908,,10445.0,,,False,,0.41433421723238,42,True,,,,component_gated_field
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},10,extension,1.1052251112839533,,,0,ETTh1,254.8773949049937,192,,63.4136238740304,,0.43591766328373727,LatentFlow,0.44536453114259483,,2689.0,,,False,,0.6673563749171764,42,True,,,185.12302251406254,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},10,extension,1.369176942474988,,,0,ETTh1,249.82389990519732,336,,60.24483352298318,,0.45418870215022555,LatentFlow,0.4818590784774529,,2545.0,,,False,,0.6941607007584432,42,True,,,182.1335125641781,continuation_frozen
single seed 42; same train/validation/test windows; validation-MSE checkpoint selection,,16-32-48,{},9,extension,1.773684790273192,,,0,ETTh1,234.57153617031872,720,,54.562267548501936,,0.4779116345333827,LatentFlow,0.4909733902212569,,2161.0,,,False,,0.7006949337773586,42,True,,,172.14279676882143,continuation_frozen
