dataset,horizon,mae,model,mse,seed
Traffic,192,0.38472874360989384,TimeMixer,0.5976891632708746,42
Traffic,336,0.3869955736527351,TimeMixer,0.6087072359864529,42
Traffic,720,0.40410049884562244,TimeMixer,0.6397392734106535,42
Weather,96,0.24267865919904333,TimeMixer,0.2009970061898062,42
Weather,192,0.2767189136027561,TimeMixer,0.24243026428754852,42
Weather,336,0.3106892348547138,TimeMixer,0.29254753157556534,42
Weather,720,0.3595443041575989,TimeMixer,0.3693050405814846,42
ETTh1,96,0.40937122595435566,TimePro,0.39567699300291964,42
ETTh1,192,0.438956172033638,TimePro,0.45101260500532314,42
ETTh1,336,0.45556990441452244,TimePro,0.4838739426674556,42
ETTh1,720,0.4957512531235826,TimePro,0.5151804667763313,42
ETTh2,96,0.34869215242004786,TimePro,0.29814079453764364,42
ETTh2,192,0.3971484885017911,TimePro,0.3775067888668014,42
ETTh2,336,0.43004225745464375,TimePro,0.4183147705472937,42
ETTh2,720,0.44512384791440857,TimePro,0.4286815907901354,42
ETTm1,96,0.38154726210293377,TimePro,0.3534657453956536,42
ETTm1,192,0.3970211975708049,TimePro,0.3861454318180428,42
ETTm1,336,0.418566446436364,TimePro,0.42107523627730403,42
ETTm1,720,0.4549325970633704,TimePro,0.48495843425876994,42
ETTm2,96,0.268579313330468,TimePro,0.1858021968636051,42
ETTm2,192,0.31121740317175206,TimePro,0.25223105070485335,42
ETTm2,336,0.3519572388440343,TimePro,0.31552059316420955,42
ETTm2,720,0.40756027753557567,TimePro,0.4170459548888955,42
Electricity,96,0.24881143273413056,TimePro,0.15639527165138026,42
Electricity,192,0.25917625441658504,TimePro,0.16874314580679559,42
Electricity,336,0.2769026703880042,TimePro,0.18619556606506169,42
Electricity,720,0.3182204044010782,TimePro,0.23569094571988525,42
Traffic,96,0.29054548423009013,TimePro,0.43464174585753557,42
Traffic,192,0.2954379715990039,TimePro,0.4490257180179623,42
Traffic,336,0.3022081405350542,TimePro,0.46479092033540037,42
Traffic,720,0.32249309351148625,TimePro,0.49770260598414656,42
Weather,96,0.2212649731216953,TimePro,0.17898738217924293,42
Weather,192,0.2650676060335634,TimePro,0.2326213336062835,42
Weather,336,0.30177767659764787,TimePro,0.28428064579385337,42
Weather,720,0.35272248753893437,TimePro,0.36088408244914494,42
ETTh1,96,0.4446760391387979,VPNet,0.44951204339224954,42
ETTh1,192,0.46065659823540356,VPNet,0.47712484532780347,42
ETTh1,336,0.46717376486698714,VPNet,0.49239039641773985,42
ETTh1,720,0.5075772836981812,VPNet,0.5316784347601763,42
ETTh2,96,0.3625360898995202,VPNet,0.31814206509729975,42
ETTh2,192,0.4232138817626443,VPNet,0.4219253025076211,42
ETTh2,336,0.4331985615773277,VPNet,0.4277407093256361,42
ETTh2,720,0.4582465335834767,VPNet,0.449087420583956,42
ETTm1,96,0.4033692507273308,VPNet,0.38222129432437346,42
ETTm1,192,0.418175817371235,VPNet,0.40975231750910496,42
ETTm1,336,0.44439108697947965,VPNet,0.45254131179545126,42
ETTm1,720,0.49570332153850777,VPNet,0.5504828542613317,42
ETTm2,96,0.27896777012801066,VPNet,0.19262267853749895,42
ETTm2,192,0.3232210447028725,VPNet,0.2614196230941909,42
ETTm2,336,0.3629313155681867,VPNet,0.32714339035386975,42
ETTm2,720,0.4223376369370785,VPNet,0.4407563701856812,42
Electricity,96,0.26501560948140046,VPNet,0.17023164237615376,42
Electricity,192,0.2755029809776124,VPNet,0.18211274029319666,42
Electricity,336,0.29156546956866236,VPNet,0.20017356397352776,42
Electricity,720,0.3285149055356304,VPNet,0.24592113703465032,42
Traffic,96,0.3194330075320664,VPNet,0.46756939006251386,42
Traffic,192,0.32738889789651365,VPNet,0.4899475157234075,42
Traffic,336,0.3303995092034247,VPNet,0.4961930676883378,42
Traffic,720,0.3482940891755476,VPNet,0.5286068472135281,42
Weather,96,0.21899188694288738,VPNet,0.172610905899662,42
Weather,192,0.25920548742752336,VPNet,0.21966009469111983,42
Weather,336,0.3027372855317804,VPNet,0.27825949499587355,42
Weather,720,0.3502758129877065,VPNet,0.35387318366337633,42
ETTh1,96,0.40933896332426317,iTransformer,0.393483573693113,42
ETTh1,192,0.44066409022341657,iTransformer,0.4481602027355473,42
ETTh1,336,0.4612828175535931,iTransformer,0.4876814839662228,42
ETTh1,720,0.484263093023053,iTransformer,0.4887566096918773,42
ETTh2,96,0.3530793276996585,iTransformer,0.3054947723779371,42
ETTh2,192,0.39804009702692933,iTransformer,0.37960483183059673,42
ETTh2,336,0.43096454230290776,iTransformer,0.41922672174300096,42
ETTh2,720,0.44290999614720367,iTransformer,0.42255184129620943,42
ETTm1,96,0.3810715874614996,iTransformer,0.3564292067791803,42
ETTm1,192,0.40054875133410456,iTransformer,0.3989312762806921,42
ETTm1,336,0.424342207101395,iTransformer,0.43606378866313095,42
ETTm1,720,0.45844257916174813,iTransformer,0.4979958253794774,42
ETTm2,96,0.2745238515403329,iTransformer,0.1891789127804779,42
ETTm2,192,0.31597726409169274,iTransformer,0.2555261859221001,42
ETTm2,336,0.3546296976900289,iTransformer,0.3187507458287136,42
ETTm2,720,0.40994289956772767,iTransformer,0.4206496759978362,42
Electricity,96,0.27301837321108824,iTransformer,0.18693371749145535,42
Electricity,192,0.28344007555035156,iTransformer,0.1965368648796657,42
Electricity,336,0.3026949805913133,iTransformer,0.2163483492949391,42
Electricity,720,0.33803456848509594,iTransformer,0.26114043564963296,42
Traffic,96,0.347996281835142,iTransformer,0.5035424766011768,42
Traffic,192,0.35245814577272616,iTransformer,0.5164511942424697,42
Traffic,336,0.361966353706403,iTransformer,0.5345079730757445,42
Traffic,720,0.38441182543598273,iTransformer,0.5791707871705277,42
Weather,96,0.23839920841510867,iTransformer,0.19984877298531292,42
Weather,192,0.27708389716619247,iTransformer,0.24882251984823472,42
Weather,336,0.31567550592538685,iTransformer,0.3021459688229839,42
Weather,720,0.3614363027528912,iTransformer,0.3738746603060945,42
ETTh1,96,0.40684259795751226,xCPD,0.3926295484366902,42
ETTh1,192,0.4448829856512767,xCPD,0.45014077450230183,42
ETTh1,336,0.46988895065955916,xCPD,0.4918613536262637,42
ETTh1,720,0.5206712290727282,xCPD,0.5282969544918992,42
ETTh2,96,0.39842095386067794,xCPD,0.3459299068772162,42
ETTh2,192,0.46846962231802214,xCPD,0.4672639332007791,42
ETTh2,336,0.5430577694527705,xCPD,0.5944708432391982,42
ETTh2,720,0.6569808976884887,xCPD,0.8312207870229539,42
ETTm1,96,0.3763343313180793,xCPD,0.3530289150032138,42
ETTm1,192,0.39368710292942527,xCPD,0.38596600473822257,42
ETTm1,336,0.4187791632659936,xCPD,0.419696549033262,42
ETTm1,720,0.46909799928999685,xCPD,0.49194509690403354,42
ETTm2,96,0.29202998975869254,xCPD,0.19454032933226326,42
ETTm2,192,0.3580529982624705,xCPD,0.280699700834269,42
ETTm2,336,0.42192769445145695,xCPD,0.3752944359477701,42
ETTm2,720,0.547674998050572,xCPD,0.5938461252023324,42
Electricity,96,0.2785773735646464,xCPD,0.1923910909116493,42
Electricity,192,0.28292609635022953,xCPD,0.1920432943234273,42
Electricity,336,0.29740061744153035,xCPD,0.20480872475793305,42
Electricity,720,0.33422023056055755,xCPD,0.24450866570584193,42
Traffic,96,0.35041650851913964,xCPD,0.5775004605466866,42
Traffic,192,0.3285763610610621,xCPD,0.5307768789099574,42
Traffic,336,0.34007833283059113,xCPD,0.5403105835373935,42
Traffic,720,0.3435197665716468,xCPD,0.5639401349698694,42
Weather,96,0.2569334023644118,xCPD,0.19685938388325014,42
Weather,192,0.2885570522232212,xCPD,0.23462801113731038,42
Weather,336,0.3272672714501268,xCPD,0.2799533060199495,42
Weather,720,0.38318207165601403,xCPD,0.34714364544272286,42
