ci95_high,ci95_low,dataset,horizon,mean,metric,model,paper_value,seeds,std
0.38154726210293377,0.38154726210293377,ETTm1,96,0.38154726210293377,mae,TimePro,0.3815,1,0.0
0.3861454318180428,0.3861454318180428,ETTm1,192,0.3861454318180428,mse,TimePro,0.3861,1,0.0
0.3970211975708049,0.3970211975708049,ETTm1,192,0.3970211975708049,mae,TimePro,0.3970,1,0.0
0.42107523627730403,0.42107523627730403,ETTm1,336,0.42107523627730403,mse,TimePro,0.4211,1,0.0
0.418566446436364,0.418566446436364,ETTm1,336,0.418566446436364,mae,TimePro,0.4186,1,0.0
0.48495843425876994,0.48495843425876994,ETTm1,720,0.48495843425876994,mse,TimePro,0.4850,1,0.0
0.4549325970633704,0.4549325970633704,ETTm1,720,0.4549325970633704,mae,TimePro,0.4549,1,0.0
0.1858021968636051,0.1858021968636051,ETTm2,96,0.1858021968636051,mse,TimePro,0.1858,1,0.0
0.268579313330468,0.268579313330468,ETTm2,96,0.268579313330468,mae,TimePro,0.2686,1,0.0
0.25223105070485335,0.25223105070485335,ETTm2,192,0.25223105070485335,mse,TimePro,0.2522,1,0.0
0.31121740317175206,0.31121740317175206,ETTm2,192,0.31121740317175206,mae,TimePro,0.3112,1,0.0
0.31552059316420955,0.31552059316420955,ETTm2,336,0.31552059316420955,mse,TimePro,0.3155,1,0.0
0.3519572388440343,0.3519572388440343,ETTm2,336,0.3519572388440343,mae,TimePro,0.3520,1,0.0
0.4170459548888955,0.4170459548888955,ETTm2,720,0.4170459548888955,mse,TimePro,0.4170,1,0.0
0.40756027753557567,0.40756027753557567,ETTm2,720,0.40756027753557567,mae,TimePro,0.4076,1,0.0
0.17898738217924293,0.17898738217924293,Weather,96,0.17898738217924293,mse,TimePro,0.1790,1,0.0
0.2212649731216953,0.2212649731216953,Weather,96,0.2212649731216953,mae,TimePro,0.2213,1,0.0
0.2326213336062835,0.2326213336062835,Weather,192,0.2326213336062835,mse,TimePro,0.2326,1,0.0
0.2650676060335634,0.2650676060335634,Weather,192,0.2650676060335634,mae,TimePro,0.2651,1,0.0
0.28428064579385337,0.28428064579385337,Weather,336,0.28428064579385337,mse,TimePro,0.2843,1,0.0
0.30177767659764787,0.30177767659764787,Weather,336,0.30177767659764787,mae,TimePro,0.3018,1,0.0
0.36088408244914494,0.36088408244914494,Weather,720,0.36088408244914494,mse,TimePro,0.3609,1,0.0
0.35272248753893437,0.35272248753893437,Weather,720,0.35272248753893437,mae,TimePro,0.3527,1,0.0
0.15639527165138026,0.15639527165138026,Electricity,96,0.15639527165138026,mse,TimePro,0.1564,1,0.0
0.24881143273413056,0.24881143273413056,Electricity,96,0.24881143273413056,mae,TimePro,0.2488,1,0.0
0.16874314580679559,0.16874314580679559,Electricity,192,0.16874314580679559,mse,TimePro,0.1687,1,0.0
0.25917625441658504,0.25917625441658504,Electricity,192,0.25917625441658504,mae,TimePro,0.2592,1,0.0
0.18619556606506169,0.18619556606506169,Electricity,336,0.18619556606506169,mse,TimePro,0.1862,1,0.0
0.2769026703880042,0.2769026703880042,Electricity,336,0.2769026703880042,mae,TimePro,0.2769,1,0.0
0.23569094571988525,0.23569094571988525,Electricity,720,0.23569094571988525,mse,TimePro,0.2357,1,0.0
0.3182204044010782,0.3182204044010782,Electricity,720,0.3182204044010782,mae,TimePro,0.3182,1,0.0
0.43464174585753557,0.43464174585753557,Traffic,96,0.43464174585753557,mse,TimePro,0.4346,1,0.0
0.29054548423009013,0.29054548423009013,Traffic,96,0.29054548423009013,mae,TimePro,0.2905,1,0.0
0.4490257180179623,0.4490257180179623,Traffic,192,0.4490257180179623,mse,TimePro,0.4490,1,0.0
0.2954379715990039,0.2954379715990039,Traffic,192,0.2954379715990039,mae,TimePro,0.2954,1,0.0
0.46479092033540037,0.46479092033540037,Traffic,336,0.46479092033540037,mse,TimePro,0.4648,1,0.0
0.3022081405350542,0.3022081405350542,Traffic,336,0.3022081405350542,mae,TimePro,0.3022,1,0.0
0.49770260598414656,0.49770260598414656,Traffic,720,0.49770260598414656,mse,TimePro,0.4977,1,0.0
0.32249309351148625,0.32249309351148625,Traffic,720,0.32249309351148625,mae,TimePro,0.3225,1,0.0
0.393483573693113,0.393483573693113,ETTh1,96,0.393483573693113,mse,iTransformer,0.3935,1,0.0
0.40933896332426317,0.40933896332426317,ETTh1,96,0.40933896332426317,mae,iTransformer,0.4093,1,0.0
0.4481602027355473,0.4481602027355473,ETTh1,192,0.4481602027355473,mse,iTransformer,0.4482,1,0.0
0.44066409022341657,0.44066409022341657,ETTh1,192,0.44066409022341657,mae,iTransformer,0.4407,1,0.0
0.4876814839662228,0.4876814839662228,ETTh1,336,0.4876814839662228,mse,iTransformer,0.4877,1,0.0
0.4612828175535931,0.4612828175535931,ETTh1,336,0.4612828175535931,mae,iTransformer,0.4613,1,0.0
0.4887566096918773,0.4887566096918773,ETTh1,720,0.4887566096918773,mse,iTransformer,0.4888,1,0.0
0.484263093023053,0.484263093023053,ETTh1,720,0.484263093023053,mae,iTransformer,0.4843,1,0.0
0.3054947723779371,0.3054947723779371,ETTh2,96,0.3054947723779371,mse,iTransformer,0.3055,1,0.0
