clustered_ci95_high,clustered_ci95_low,contrast_plus_minus,dataset,effect,interpretation,metric,paired_dataset_horizon_seed_cells
-0.0005171804781392136,-0.0005171804781392136,-0.0005171804781392136,ETTm2,bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00034418616772672526,-0.00034418616772672526,-0.00034418616772672526,Weather,bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.0015892148399938091,-0.0015892148399938091,-0.0015892148399938091,Electricity,bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00291138379493365,-0.00291138379493365,-0.00291138379493365,Traffic,bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-8.324782565792678e-05,-0.0015729053942947417,-0.0007393958306670757,ALL,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,84
-0.00026391955017091825,-0.00026391955017091825,-0.00026391955017091825,ETTh1,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,12
0.00013262211195260581,0.00013262211195260581,0.00013262211195260581,ETTh2,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00011263636716534603,-0.00011263636716534603,-0.00011263636716534603,ETTm1,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,12
5.451409453130843e-05,5.451409453130843e-05,5.451409453130843e-05,ETTm2,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.0004914088309616946,-0.0004914088309616946,-0.0004914088309616946,Weather,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.0015835584779218352,-0.0015835584779218352,-0.0015835584779218352,Electricity,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,12
-0.00291138379493365,-0.00291138379493365,-0.00291138379493365,Traffic,scale_x_bank_x_continuation,negative contrast favors the +1 level(s),mae,12
